instrument_id,canonical_symbol,price_symbol,price_source,available_from,available_to,asset_class,price_join_required
CUSIP:02079K107,GOOG,GOOG,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:02079K305,GOOGL,GOOGL,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:438516106,HON,HON,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:45168D104,IDXX,IDXX,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:457669307,INSM,INSM,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:458140100,INTC,INTC,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:461202103,INTU,INTU,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:46120E602,ISRG,ISRG,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:49271V100,KDP,KDP,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:500754106,KHC,KHC,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:482480100,KLAC,KLAC,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:G54950103,LIN,LIN,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:512807306,LRCX,LRCX,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:571903202,MAR,MAR,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:595017104,MCHP,MCHP,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:609207105,MDLZ,MDLZ,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:58733R102,MELI,MELI,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:30303M102,META,META,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:61174X109,MNST,MNST,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:609839105,MPWR,MPWR,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:573874104,MRVL,MRVL,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:594918104,MSFT,MSFT,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:594972408,MSTR,MSTR,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:595112103,MU,MU,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:64110L106,NFLX,NFLX,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:FUTPLGCSH,NONE,NONE,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:NQM6,NQM6,NQM6,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:None,NQM6_,NQM6_,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:67066G104,NVDA,NVDA,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:N6596X109,NXPI,NXPI,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:679580100,ODFL,ODFL,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:67103H107,ORLY,ORLY,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:697435105,PANW,PANW,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:704326107,PAYX,PAYX,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:693718108,PCAR,PCAR,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:722304102,PDD,PDD,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:713448108,PEP,PEP,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:69608A108,PLTR,PLTR,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:70450Y103,PYPL,PYPL,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:747525103,QCOM,QCOM,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:75886F107,REGN,REGN,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:776696106,ROP,ROP,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:778296103,ROST,ROST,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:855244109,SBUX,SBUX,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:82509L107,SHOP,SHOP,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:80004C200,SNDK,SNDK,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:871607107,SNPS,SNPS,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:G7997R103,STX,STX,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:872590104,TMUS,TMUS,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:884903808,TRI,TRI,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:88160R101,TSLA,TSLA,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:874054109,TTWO,TTWO,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:882508104,TXN,TXN,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:CASHUSD00,USD,USD,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:92345Y106,VRSK,VRSK,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:92532F100,VRTX,VRTX,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:934423104,WBD,WBD,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:98138H101,WDAY,WDAY,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:958102105,WDC,WDC,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:931142103,WMT,WMT,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:98389B100,XEL,XEL,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:98980G102,ZS,ZS,invesco_namespace_seed,1999-03-10,,equity,True
