trade_date,ticker,close,source_name,fetch_timestamp,price_basis
2023-01-06,QQQ,263.70684814453125,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2023-01-09,QQQ,265.4139099121094,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2023-01-10,QQQ,267.6605224609375,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2023-01-11,QQQ,272.2910461425781,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2023-01-12,QQQ,273.76263427734375,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2023-01-13,QQQ,275.6462707519531,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2023-01-17,QQQ,276.20550537109375,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2023-01-18,QQQ,272.6148681640625,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2023-01-19,QQQ,269.9365234375,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2023-01-20,QQQ,277.3238830566406,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2023-01-23,QQQ,283.4848937988281,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2023-01-24,QQQ,282.90606689453125,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2023-01-25,QQQ,282.2781677246094,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2023-01-26,QQQ,287.7818908691406,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2023-01-27,QQQ,290.6466064453125,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2023-01-30,QQQ,284.7701110839844,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2023-01-31,QQQ,289.03765869140625,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2023-02-01,QQQ,295.2182922363281,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2023-02-02,QQQ,305.8136291503906,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2023-02-03,QQQ,300.37860107421875,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
