date,BAMLH0A0HYM2
2011-10-14,6.458923989348378
2011-10-21,6.356045812732218
2011-10-28,6.031981717562061
2011-11-04,6.166350375392378
2011-11-11,6.2644928786193805
2011-11-18,6.348650310891219
2011-11-25,6.466930527570369
2011-12-02,6.43591256233445
2011-12-09,6.425863738405454
2011-12-16,6.312314661810168
2011-12-23,6.191189301055465
2011-12-30,6.044461157479949
2012-01-06,5.808749214387645
2012-01-13,5.581415519767753
2012-01-20,5.3197666151968175
2012-01-27,5.174694210789632
2012-02-03,4.976461453312575
2012-02-10,4.87073299078501
2012-02-17,4.735319410999775
2012-02-24,4.627774212458185
2012-03-02,4.552171524660306
2012-03-09,4.52895309915744
2012-03-16,4.36985229459791
2012-03-23,4.335929116765653
2012-03-30,4.414276377742251
2012-04-06,4.531681903439511
2012-04-13,4.6711114937774205
2012-04-20,4.709481601966095
2012-04-27,4.794251583468879
2012-05-04,4.976345002846658
2012-05-11,5.161218750098628
2012-05-18,5.446732688761394
2012-05-25,5.59130099276462
2012-06-01,5.793251449410198
2012-06-08,5.758129792576358
2012-06-15,5.711750500296059
2012-06-22,5.530934172237853
2012-06-29,5.447217197976641
2012-07-06,5.361142951466244
2012-07-13,5.210303915131037
2012-07-20,5.039492264027935
2012-07-27,4.93840519892625
2012-08-03,4.791666705780411
2012-08-10,4.656492896258225
2012-08-17,4.550870790098852
2012-08-24,4.484680982984347
2012-08-31,4.465008545422859
2012-09-07,4.2965669760807295
2012-09-14,4.167480133725
2012-09-21,4.003583832977846
2012-09-28,4.001319206766361
2012-10-05,3.8372640502416036
2012-10-12,3.743038805726503
2012-10-19,3.628077780544751
2012-10-26,3.688143058506046
2012-11-02,3.6961418249539113
2012-11-09,3.7706208765223286
2012-11-16,3.7923986385508424
2012-11-23,3.733229422311798
2012-11-30,3.7764426129885047
2012-12-07,3.7496992864282213
2012-12-14,3.6760723634833394
2012-12-21,3.60293360639795
2012-12-28,3.6382804780060707
2013-01-04,3.340060867954127
2013-01-11,3.2589708172193643
2013-01-18,3.2072409920148033
2013-01-25,3.189450081206598
2013-02-01,3.1888023012790425
2013-02-08,3.2051040924818874
2013-02-15,3.1742663973916954
2013-02-22,3.2389023851601553
2013-03-01,3.2926412544515027
2013-03-08,3.1860363186335756
2013-03-15,3.137270487991563
2013-03-22,3.206423486386589
2013-03-29,3.212739311066312
2013-04-05,3.09445699929713
2013-04-12,2.991321656035944
2013-04-19,3.0207854916001193
2013-04-26,2.9281575518022236
2013-05-03,2.8728732051632058
2013-05-10,2.8420719268511188
2013-05-17,2.838024072287964
2013-05-24,2.879132315445685
2013-05-31,3.0472104538888103
2013-06-07,3.188179495889058
2013-06-14,3.3538601943164723
2013-06-21,3.4141150818590384
2013-06-28,3.365276168405793
2013-07-05,3.263784497903864
2013-07-12,3.2026364198636252
2013-07-19,3.083048604221432
2013-07-26,2.975068970569025
2013-08-02,2.9232864093826763
2013-08-09,3.0021056602516176
2013-08-16,3.0004999431141792
2013-08-23,2.9772855776687845
2013-08-30,2.980943956531847
2013-09-06,2.986931737211405
2013-09-13,2.974900553451962
2013-09-20,2.9555958765075947
2013-09-27,3.033172482259272
2013-10-04,3.050431660602922
2013-10-11,2.898186138510889
2013-10-18,2.7468716062133867
2013-10-25,2.6853579160997354
2013-11-01,2.620083305410839
2013-11-08,2.6014162850342712
2013-11-15,2.55098058490958
2013-11-22,2.479126971658384
2013-11-29,2.462963685986919
2013-12-06,2.4265174344017115
2013-12-13,2.398858476023509
2013-12-20,2.2334314542961122
2013-12-27,2.179323753254924
2014-01-03,2.207445863638872
