trade_date,ticker,close,source_name,fetch_timestamp,price_basis
2012-11-23,QQQ,64.900002,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2012-11-26,QQQ,65.18,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2012-11-27,QQQ,64.959999,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2012-11-28,QQQ,65.519997,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2012-11-29,QQQ,65.910004,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2012-11-30,QQQ,65.800003,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2012-12-03,QQQ,65.669998,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2012-12-04,QQQ,65.629997,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2012-12-05,QQQ,64.900002,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2012-12-06,QQQ,65.32,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2012-12-07,QQQ,64.93,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2012-12-10,QQQ,65.120003,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2012-12-11,QQQ,65.970001,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2012-12-12,QQQ,65.830002,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2012-12-13,QQQ,65.309998,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2012-12-14,QQQ,64.690002,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2012-12-17,QQQ,65.550003,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2012-12-18,QQQ,66.550003,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2012-12-19,QQQ,66.260002,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2012-12-20,QQQ,66.260002,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2012-12-21,QQQ,65.199997,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2012-12-24,QQQ,65.07,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2012-12-26,QQQ,64.5,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2012-12-27,QQQ,64.400002,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2012-12-28,QQQ,63.779999,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2012-12-31,QQQ,65.129997,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-01-02,QQQ,67.199997,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-01-03,QQQ,66.849998,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-01-04,QQQ,66.629997,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-01-07,QQQ,66.650002,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-01-08,QQQ,66.519997,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-01-09,QQQ,66.769997,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-01-10,QQQ,67.169998,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-01-11,QQQ,67.260002,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-01-14,QQQ,66.959999,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-01-15,QQQ,66.629997,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-01-16,QQQ,66.900002,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-01-17,QQQ,67.220001,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-01-18,QQQ,67.07,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-01-22,QQQ,67.18,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-01-23,QQQ,67.589996,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-01-24,QQQ,66.660004,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-01-25,QQQ,67.0,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-01-28,QQQ,67.150002,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-01-29,QQQ,67.160004,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-01-30,QQQ,67.019997,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-01-31,QQQ,66.870003,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-02-01,QQQ,67.660004,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-02-04,QQQ,66.480003,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-02-05,QQQ,67.459999,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2013-02-06,QQQ,67.239998,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
