week_end,exec_date,exec_open_qqq,exec_open_shy
2024-02-02,2024-02-05,423.84847308382064,75.3124407464082
2024-02-09,2024-02-12,431.62271030244636,75.3216418746571
2024-02-16,2024-02-20,423.33485505593694,75.22961293109455
2024-02-23,2024-02-26,432.27469754338847,75.14677740323052
2024-03-01,2024-03-04,440.1872243459957,75.31269998489948
2024-03-08,2024-03-11,432.18579559632065,75.46961580578781
2024-03-15,2024-03-18,433.96405176519625,75.23883922687271
2024-03-22,2024-03-25,438.7316504748345,75.46036897439353
2024-03-29,2024-04-01,440.13625746716383,75.46029079357676
2024-04-05,2024-04-08,436.6149191708532,75.33989448047211
2024-04-12,2024-04-15,437.2578557574557,75.11763644540487
2024-04-19,2024-04-22,412.7766879173197,75.1824683678319
2024-04-26,2024-04-29,428.42482700907794,75.23801312450821
2024-05-03,2024-05-06,432.5495329935745,75.54674700612541
2024-05-10,2024-05-13,439.16687233072867,75.58391970897816
2024-05-17,2024-05-20,447.0701585469442,75.65822829577552
2024-05-24,2024-05-28,454.1918939311823,75.63037855003724
2024-05-31,2024-06-03,449.6319094145116,75.6972794130283
2024-06-07,2024-06-10,456.8032358696626,75.7531967163086
2024-06-14,2024-06-17,474.2515079744591,76.02352971949304
2024-06-21,2024-06-24,473.7372201719712,76.1073989868164
2024-06-28,2024-07-01,475.57999748371265,76.05128525119322
2024-07-05,2024-07-08,491.9167358967407,76.34120894913755
2024-07-12,2024-07-15,491.99600089511654,76.64050246396656
2024-07-19,2024-07-22,476.6895495582666,76.61241866619174
2024-07-26,2024-07-29,461.383116315446,76.82751511004962
2024-08-02,2024-08-05,420.7640496665403,77.75773698301813
2024-08-09,2024-08-12,447.19619606278854,77.3730164227833
2024-08-16,2024-08-19,470.75522206656456,77.4292984008789
2024-08-23,2024-08-26,474.9954750129997,77.7295836851449
2024-08-30,2024-09-03,468.80357010979293,77.74667120264691
2024-09-06,2024-09-09,448.8506232910241,78.10448580719962
2024-09-13,2024-09-16,468.79361628971213,78.33985137939453
2024-09-20,2024-09-23,479.1352933813507,78.33045277323772
2024-09-27,2024-09-30,481.94289313235436,78.35868866417374
2024-10-04,2024-10-07,481.55604432247213,77.84216702293865
2024-10-11,2024-10-14,491.85402746733337,77.91773969172782
2024-10-18,2024-10-21,489.35393242594535,77.99331300086422
2024-10-25,2024-10-28,494.52279649460877,77.87995879714202
2024-11-01,2024-11-04,482.9747727442374,77.87358909323974
2024-11-08,2024-11-11,511.2992556117253,77.72190469002221
2024-11-15,2024-11-18,494.1954094353085,77.77878330520535
2024-11-22,2024-11-25,505.8723839670451,77.84514712757183
2024-11-29,2024-12-02,506.97368662654696,77.99193481423175
2024-12-06,2024-12-09,521.398850563676,78.20116656286457
2024-12-13,2024-12-16,528.8693668170654,78.09653118168009
2024-12-20,2024-12-23,516.2773821985058,78.02023427716556
2024-12-27,2024-12-30,512.2627757493814,78.15383035892715
2025-01-03,2025-01-06,520.719278575862,78.2110819428748
