week_end,k_hat_t,p_t,s_t,h_t,rho_t,I_t,interpretability,mode,degraded_reason,strict_contracts_satisfied
2024-09-13,4.0,"[0.0008881911529020765, 0.3882608988193236, 0.14648800156401617, 0.008949830451425557, 0.45541307801233266]",0.4568815923712868,0.2862699765213502,0.33437285472422573,0.32138437795445024,"{""L"": 0.437712576862726, ""T"": 0.6702014473971363, ""P"": -0.20896165321587068, ""E"": -1.2299171060886085, ""H"": 0.35741512403012043, ""I"": 0.32138437795445024, ""d"": 1.2736401805142779, ""a"": 0.3900497765186535, ""g_raw"": 0.8318449785164657, ""g_stress"": -0.17290309842643992, ""s"": 0.4568815923712868, ""drift_probe_raw"": -0.11008637443246584, ""drift_flag"": 0, ""k_hat_t"": 4, ""p_t"": [0.0008881911529020765, 0.3882608988193236, 0.14648800156401617, 0.008949830451425557, 0.45541307801233266], ""h_t"": 0.2862699765213502, ""rho_t"": 0.33437285472422573}",strict,,True
2024-09-20,4.0,"[0.000590412742455186, 0.024471511380669327, 0.25954873616445284, 0.2585655083465578, 0.4568238313658649]",0.44686073089867556,0.5806697403968104,0.38097791764457245,-0.17778680508316427,"{""L"": 0.06372073399506711, ""T"": 0.7245169869176291, ""P"": 0.0873619276297734, ""E"": -1.2221112989555312, ""H"": 0.30090972092664037, ""I"": -0.17778680508316427, ""d"": 0.6764969526240647, ""a"": 0.9173885627276517, ""g_raw"": 0.7969427576758582, ""g_stress"": -0.21336283059242225, ""s"": 0.44686073089867556, ""drift_probe_raw"": -0.10882471797800544, ""drift_flag"": 0, ""k_hat_t"": 4, ""p_t"": [0.000590412742455186, 0.024471511380669327, 0.25954873616445284, 0.2585655083465578, 0.4568238313658649], ""h_t"": 0.5806697403968104, ""rho_t"": 0.38097791764457245}",strict,,True
2024-09-27,4.0,"[0.0006026728230719664, 0.19852904533193835, 0.18842189439961143, 0.028302226811141296, 0.5841441606342369]",0.34102760000811555,0.4516923780269335,0.2773166595401032,0.1828276665064762,"{""L"": 0.6069930222108813, ""T"": 0.35038064681593545, ""P"": 0.24776145764650762, ""E"": -1.477523733718904, ""H"": 0.42737079968155683, ""I"": 0.1828276665064762, ""d"": 0.5449425757208972, ""a"": 0.6731583900337258, ""g_raw"": 0.6090504828773116, ""g_stress"": -0.6587182395258853, ""s"": 0.34102760000811555, ""drift_probe_raw"": -0.10732806600633912, ""drift_flag"": 0, ""k_hat_t"": 4, ""p_t"": [0.0006026728230719664, 0.19852904533193835, 0.18842189439961143, 0.028302226811141296, 0.5841441606342369], ""h_t"": 0.4516923780269335, ""rho_t"": 0.2773166595401032}",strict,,True
2024-10-04,3.0,"[0.0006825516981058322, 0.004305236121113753, 0.21844378365086245, 0.576861638826223, 0.19970678970369501]",0.6526385280859252,0.11301672560386103,0.38837373171717715,-0.4143648959043178,"{""L"": -0.25853031290979955, ""T"": 0.45447015864984125, ""P"": 0.03648151480361792, ""E"": -1.3670547094748249, ""H"": 0.06477280906442907, ""I"": -0.4143648959043178, ""d"": 1.559685392409789, ""a"": 1.275628818819658, ""g_raw"": 1.4176571056147236, ""g_stress"": 0.6306574766914679, ""s"": 0.6526385280859252, ""drift_probe_raw"": -0.10718239932003921, ""drift_flag"": 0, ""k_hat_t"": 3, ""p_t"": [0.0006825516981058322, 0.004305236121113753, 0.21844378365086245, 0.576861638826223, 0.19970678970369501], ""h_t"": 0.11301672560386103, ""rho_t"": 0.38837373171717715}",strict,,True
2024-10-11,3.0,"[0.0007874640097841761, 0.007637375777848377, 0.24537399946671623, 0.4963493985237543, 0.24985176222189692]",0.47861056255424933,0.41550717146656113,0.2883255572067551,-0.3532227995625594,"{""L"": -0.31289328946342787, ""T"": 0.4695582792341646, ""P"": 0.20240376703117446, ""E"": -0.9167444793886894, ""H"": 0.08978902370438008, ""I"": -0.3532227995625594, ""d"": 1.141505610440917, ""a"": 0.2661229762249305, ""g_raw"": 0.7038142933329237, ""g_stress"": -0.08560999830879182, ""s"": 0.47861056255424933, ""drift_probe_raw"": -0.10680212128227495, ""drift_flag"": 0, ""k_hat_t"": 3, ""p_t"": [0.0007874640097841761, 0.007637375777848377, 0.24537399946671623, 0.4963493985237543, 0.24985176222189692], ""h_t"": 0.41550717146656113, ""rho_t"": 0.2883255572067551}",strict,,True
2024-10-18,3.0,"[0.0015879708282407427, 0.0039927834517048, 0.2521179289321792, 0.5931949276816689, 0.14910638910620638]",0.6492482896742314,0.4620277538411499,0.37015657971034344,-0.46560993093897174,"{""L"": -0.4411379668654563, ""T"": 0.1782863307245452, ""P"": -0.1591949906241511, ""E"": -1.047723067248501, ""H"": -0.1538537186486295, ""I"": -0.46560993093897174, ""d"": 1.8515055347808063, ""a"": 0.6150218308554228, ""g_raw"": 1.2332636828181145, ""g_stress"": 0.6157366210626432, ""s"": 0.6492482896742314, ""drift_probe_raw"": -0.10601887694324416, ""drift_flag"": 0, ""k_hat_t"": 3, ""p_t"": [0.0015879708282407427, 0.0039927834517048, 0.2521179289321792, 0.5931949276816689, 0.14910638910620638], ""h_t"": 0.4620277538411499, ""rho_t"": 0.37015657971034344}",strict,,True
2024-10-25,3.0,"[0.0005887888624385182, 0.0021175298937720533, 0.17894370695567285, 0.6909079507963185, 0.1274420234917981]",0.5514619527474559,0.11438394606676958,0.32260345754799924,-0.5308000026883969,"{""L"": -0.3010817179491592, ""T"": 0.35150291901953934, ""P"": -0.13773511370078156, ""E"": -1.0261069945481671, ""H"": -0.031840443948020325, ""I"": -0.5308000026883969, ""d"": 1.27783336101001, ""a"": 0.6121196780726945, ""g_raw"": 0.9449765195413523, ""g_stress"": 0.20657933751686533, ""s"": 0.5514619527474559, ""drift_probe_raw"": -0.10631492695003238, ""drift_flag"": 0, ""k_hat_t"": 3, ""p_t"": [0.0005887888624385182, 0.0021175298937720533, 0.17894370695567285, 0.6909079507963185, 0.1274420234917981], ""h_t"": 0.11438394606676958, ""rho_t"": 0.32260345754799924}",strict,,True
2024-11-01,4.0,"[0.0007966502662716821, 0.37814013514521266, 0.154640955092127, 0.018554753590760545, 0.447867505905628]",0.7394386927061576,0.17231268551446902,0.5369069071755007,0.29783466799240077,"{""L"": 0.2621962294449486, ""T"": 0.4856959279602929, ""P"": 0.17699984491307422, ""E"": -1.160436120701846, ""H"": 0.3191220277923505, ""I"": 0.29783466799240077, ""d"": 1.5641789457961601, ""a"": 1.5895666504544212, ""g_raw"": 1.5768727981252906, ""g_stress"": 1.043053196801496, ""s"": 0.7394386927061576, ""drift_probe_raw"": -0.1053369015308227, ""drift_flag"": 0, ""k_hat_t"": 4, ""p_t"": [0.0007966502662716821, 0.37814013514521266, 0.154640955092127, 0.018554753590760545, 0.447867505905628], ""h_t"": 0.17231268551446902, ""rho_t"": 0.5369069071755007}",strict,,True
2024-11-08,1.0,"[0.0005646275119401736, 0.4923739163771529, 0.11207523271920801, 0.00940408718230081, 0.385582136209398]",0.3999402197671,0.19684020629564872,0.29256239531999695,0.3948916551225421,"{""L"": 0.6375270521078971, ""T"": 0.30479205615351423, ""P"": 0.04796052333654817, ""E"": -1.6124747381365878, ""H"": 0.3736781713310259, ""I"": 0.3948916551225421, ""d"": 1.5844195582369007, ""a"": 0.0966607157250846, ""g_raw"": 0.8405401369809926, ""g_stress"": -0.40571419861765595, ""s"": 0.3999402197671, ""drift_probe_raw"": -0.10457283657721068, ""drift_flag"": 0, ""k_hat_t"": 1, ""p_t"": [0.0005646275119401736, 0.4923739163771529, 0.11207523271920801, 0.00940408718230081, 0.385582136209398], ""h_t"": 0.19684020629564872, ""rho_t"": 0.29256239531999695}",strict,,True
2024-11-15,1.0,"[0.0017684938930687378, 0.5794938574496062, 0.13503722068564314, 0.008410213647135662, 0.27529021432454626]",0.6256495983913282,0.5326138760912049,0.46588640803795744,0.3699543618129324,"{""L"": 0.4260878631134766, ""T"": 0.1286817063723037, ""P"": -0.4030808199784588, ""E"": -1.3790652765682783, ""H"": 0.11470353748108222, ""I"": 0.3699543618129324, ""d"": 1.8084215808765565, ""a"": 0.8456579855817926, ""g_raw"": 1.3270397832291745, ""g_stress"": 0.5135982059124408, ""s"": 0.6256495983913282, ""drift_probe_raw"": -0.10473180047370625, ""drift_flag"": 0, ""k_hat_t"": 1, ""p_t"": [0.0017684938930687378, 0.5794938574496062, 0.13503722068564314, 0.008410213647135662, 0.27529021432454626], ""h_t"": 0.5326138760912049, ""rho_t"": 0.46588640803795744}",strict,,True
2024-11-22,4.0,"[0.004199252917997311, 0.18920809346790288, 0.34332291344207, 0.07042515925327797, 0.3928445809187518]",0.6326159639895105,0.5736876816534072,0.46809807230672273,0.06548274810577738,"{""L"": 0.20191184787419322, ""T"": -0.03530101510488448, ""P"": -0.4875993865436401, ""E"": -0.7270266137681739, ""H"": -0.053490462772942296, ""I"": 0.06548274810577738, ""d"": 1.3599279391707961, ""a"": 0.6489022681943302, ""g_raw"": 1.0044151036825633, ""g_stress"": 0.5434558254861567, ""s"": 0.6326159639895105, ""drift_probe_raw"": -0.09928355399953162, ""drift_flag"": 0, ""k_hat_t"": 4, ""p_t"": [0.004199252917997311, 0.18920809346790288, 0.34332291344207, 0.07042515925327797, 0.3928445809187518], ""h_t"": 0.5736876816534072, ""rho_t"": 0.46809807230672273}",strict,,True
2024-11-29,3.0,"[0.0011660062414540133, 0.01904943807118165, 0.293462712645211, 0.4126648435005837, 0.2736569995415697]",0.45856669858621807,0.18930907005173167,0.2912862356869038,-0.29594629564505415,"{""L"": 0.07910244209026351, ""T"": 0.09724305908592545, ""P"": -0.2623178616139325, ""E"": -1.4550881577285173, ""H"": 9.658211269618355e-05, ""I"": -0.29594629564505415, ""d"": 1.0079468327849863, ""a"": 0.8035397828088703, ""g_raw"": 0.9057433077969284, ""g_stress"": -0.1661141326973819, ""s"": 0.45856669858621807, ""drift_probe_raw"": -0.09382820275455173, ""drift_flag"": 0, ""k_hat_t"": 3, ""p_t"": [0.0011660062414540133, 0.01904943807118165, 0.293462712645211, 0.4126648435005837, 0.2736569995415697], ""h_t"": 0.18930907005173167, ""rho_t"": 0.2912862356869038}",strict,,True
